,X,Y,Z
LM 1,0.026466845077050286,-0.08375704550928346,-0.046125374848081276
LM 2,-0.017890389835692307,-0.08595335456682912,-0.045930604097738706
LM 3,0.10077711897141221,0.17356903425974493,-0.00569792748438786
LM 4,-0.11332497069131167,0.1649050891406688,-0.013564730793392295
LM 5,-0.0006508595807919328,0.07718550367431999,-0.06435641140696717
LM 6,-0.00574361703919515,0.04833528839550123,0.19724531989585778
LM 7,0.02065848165801191,-0.07248802261453346,0.021821963849080313
LM 8,-0.016287123012819902,-0.07353714988177258,0.020227518131505997
LM 9,0.09461364142205635,-0.047856927615961865,0.01748242615649252
LM 10,-0.09102700955181511,-0.05227571810872768,0.011729589829120729
LM 11,0.06175447209784673,-0.0307019620292809,-0.08081505637266413
LM 12,-0.054222335036777064,-0.03182078029145441,-0.08564176288944383
LM 13,0.12694624881591018,0.09819837310332442,0.056176119325052856
LM 14,-0.138146140964011,0.10221667793051159,0.054507711143818215
LM 15,0.029338403055719293,0.11436413068338577,-0.07277509233309713
LM 16,-0.03273439092304945,0.11357845567340862,-0.07353099180654851
LM 17,0.09319162618266393,-0.053056376216911595,0.030267004631040217
LM 18,-0.09114123268927862,-0.056836600701067844,0.024761595738641385
LM 19,0.09805902558973677,-0.04950972638010316,0.035429408091171816
LM 20,-0.09649348396822849,-0.053074871010451705,0.029764851885000863
LM 21,0.0876007406046006,-0.05039421735855176,0.06704124740620314
LM 22,-0.08829660754068461,-0.05382421841001121,0.061371554892685934
LM 23,0.0020017092821549313,-0.09456808578069427,0.05533582975970776
LM 24,0.10510108901750535,-0.02391386470375999,-0.007951318167898914
LM 25,-0.10318051231131181,-0.029956698910922237,-0.012994712120463797
LM 26,-0.00785869287254112,0.23729547753104446,0.08938924186881377
LM 27,0.05720003792789678,-0.07063035416448958,-0.01669901146685088
LM 28,-0.0511620877174421,-0.07444744054391235,-0.01913678151541702
LM 29,0.06200256879426649,-0.076068912145047,0.05151254185625438
LM 30,-0.05947879662974232,-0.07634971658821403,0.04811437331615496
LM 31,0.10217661221331081,0.10034290742850001,-0.07366854150201231
LM 32,-0.10605304163919334,0.09560450658971051,-0.07796908948260578
LM 33,0.107107302377008,0.013211518096617003,0.10155076728679334
LM 34,-0.11492841354570989,0.011200965272699622,0.10346413133666874
LM 35,0.014656033066341676,-0.08706783164159718,-0.06089252877798805
LM 36,-0.005319708936228815,-0.08759918658603182,-0.06116461112667304
LM 37,0.0021742794555080795,-0.09071284273118127,0.03815745330713707
LM 38,-0.0035334798395479147,0.24700938356752677,0.01841982533294806
LM 39,-0.002107925912857699,0.14651245786236633,-0.0740487756337978
LM 40,0.10311910281640459,0.08201920780315429,-0.02158965373284586
LM 41,-0.10970456018493359,0.07654974340386725,-0.025984783980286308
LM 42,0.00629292700018189,-0.099628793239796,-0.09258083571670217
LM 43,0.10072348396254933,0.017340078418198398,0.1260226724663314
LM 44,-0.11086042757794476,0.010333412061813927,0.11712839963627583
LM 45,0.005491437464095209,-0.09578492369303102,-0.07164405486859894
LM 46,0.12031511453264351,0.023932773458640078,-0.0198834359588309
LM 47,-0.12150912009379243,0.02084289178474946,-0.025195838280875977
LM 48,0.08563634872599991,-0.04949739911987219,-0.05046858813416448
LM 49,-0.08007857525391121,-0.053627659378987995,-0.05512735044163446
LM 50,0.051351587866878004,-0.07077071752685506,-0.01407180815309403
LM 51,-0.0455678028383199,-0.07443658696510608,-0.016129877535016754
LM 52,0.11364468729611907,0.005918302850668878,-0.028428339146448146
LM 53,-0.11289716076928127,0.0009391579033109862,-0.03376742065876813
LM 54,0.10936069129237949,-0.012714581162215546,-0.012018911952626055
LM 55,-0.10756314960983793,-0.01854277131707888,-0.0170673267568362
