,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15
LM 1_X,0.015086384134283332,0.012410369451621887,0.017746364338531037,-0.03339020480295207,0.024381327695724566,0.03062284830861267,0.006794723462677082,0.03505680125305256,-0.06162149193863221,-0.03756996699088338,-0.034158404761820846,-0.06105419298907479,-0.014976795901565079,-0.00747590746277162,-0.009072467502127634
LM 1_Y,-0.006197107627751164,0.013707977527443488,-0.006368598912939838,0.031050595918373114,-0.05437241766416884,-0.007121165672068108,-0.05251144116954992,-0.07811533913140126,0.05584580676490131,0.035723314120970184,0.02310485370282997,0.022414606834431666,-0.018805140856458204,0.01163997022171572,-0.15992042949227814
LM 1_Z,0.04107191482407413,-0.0888970497432231,-0.058340067605303345,0.07112490911515652,0.02023816855455765,0.13155208162205992,0.05801797936910264,0.04411496598123946,0.03634140468745445,-0.08595124111693639,-0.13697056966197796,-0.0016733347928024056,0.06517042029565803,0.032346471280699424,-0.182865522814453
LM 2_X,-0.036081629141302196,0.07869445567088013,0.04729965866892211,0.013549896874944733,0.09610739338021826,-0.15403541623481348,0.004682846005303014,-0.0841506536698679,-0.08164971032398335,-0.029766176844190334,0.03792953876680011,0.09248059934360325,-0.16798813102557736,-0.009004699781005838,0.0657110879974051
LM 2_Y,-0.0012743517618699907,-0.03623713805279949,-0.015832509330769073,0.022426895245210465,0.015850247331716805,-0.026925834144040595,-0.025425391701838936,-0.025497808969302024,-0.048807690881305696,0.01842563777610201,0.012334210769841758,0.012148729501783473,0.06868476616795698,-0.023893397702093536,0.11955384224758166
LM 2_Z,-0.010285723255969936,-0.04402108473257971,0.01591588780027675,-0.06363449423598022,-0.0692905815022554,-0.011499112372717418,0.08398217328445545,0.12076045836263088,-0.020773040087026684,0.11497582024900502,0.06732033832735025,-0.17682457559813225,0.07022533761988368,-0.03605669598465959,0.11354584468924421
LM 3_X,0.027359384261750386,0.0007408458220123371,-0.0175724427215892,-0.029303295270954932,0.035103565861355046,0.011932349738828923,-0.027181113859830262,0.02671531248207276,-0.054291745303684746,0.0033716964836979363,-0.010285750627609447,-0.0138989141507192,-0.035810095334000536,0.030336522177499034,-0.060322823807624666
LM 3_Y,0.0011877353303355093,0.022260696575759326,0.020682611168169107,0.012727415404536202,-0.019464852627892798,-0.018116260570557374,0.0031221093025493307,-0.051798846647035414,0.03828269565229592,0.004525217000728665,-0.02569245044367724,0.010823729579739205,0.07843858580510593,-0.022642689368150004,0.04916927743323265
LM 3_Z,0.019056232572008253,0.018843337909944913,-0.013411479300663609,-0.03877264019778903,0.04299613521983836,-0.048611808939815176,0.001478841587166893,0.0004629586904655869,-0.03646879957416205,0.04979287780117808,0.06314721053638517,0.021069019465369904,-0.048308894750217435,0.09805829831195514,0.013353713137410406
LM 4_X,-0.0223373523030398,0.007719637736057329,0.014196507071468079,0.032175981065567655,0.00815986823922532,0.06104983736017672,0.0035912180463117255,-0.011136196380844579,0.04499212162347965,-0.04534438313840126,-0.10172507103371473,-0.020206166478943285,0.05434861193212476,-0.058179364613133944,-0.05444312579302179
LM 4_Y,0.07264604515426622,-0.021937659705828637,0.06362418630369801,-0.08200344509223459,0.08915226140005797,0.07564565078103563,-0.016994788111252948,0.01775852883141732,-0.05770448889662538,0.016012648060246826,0.14400428312282787,-0.04313738644719223,-0.013973762959297809,-0.10581363377711273,0.06351564710779348
